composite_key,overall_result,issues_count
CUST000714|CD-1000001|2020-03-18,MISSING_IN_DEST,0
CUST006191|CD-1000002|2024-07-01,MISSING_IN_DEST,0
CUST005236|CD-1000003|2021-05-03,MISSING_IN_DEST,0
CUST003511|CD-1000004|2024-06-10,MISSING_IN_DEST,0
CUST003464|CD-1000005|2023-07-11,MISSING_IN_DEST,0
CUST006868|CD-1000006|2021-04-07,MISSING_IN_DEST,0
CUST000688|CD-1000007|2022-12-07,MISSING_IN_DEST,0
CUST005579|CD-1000008|2020-03-24,MISSING_IN_DEST,0
CUST001612|CD-1000009|2024-05-19,MISSING_IN_DEST,0
CUST000754|CD-1000010|2021-11-23,MISSING_IN_DEST,0
CUST004212|CD-1000011|2022-05-24,MISSING_IN_DEST,0
CUST007805|CD-1000012|2020-12-24,MISSING_IN_DEST,0
CUST005886|CD-1000013|2022-04-12,MISSING_IN_DEST,0
CUST006089|CD-1000014|2022-06-21,MISSING_IN_DEST,0
CUST005740|CD-1000015|2021-05-28,MISSING_IN_DEST,0
CUST006288|CD-1000016|2026-02-11,MISSING_IN_DEST,0
CUST004106|CD-1000017|2021-09-30,MISSING_IN_DEST,0
CUST001025|CD-1000018|2021-02-17,MISSING_IN_DEST,0
CUST006718|CD-1000019|2023-06-04,MISSING_IN_DEST,0
CUST003603|CD-1000020|2021-12-28,MISSING_IN_DEST,0
CUST004003|CD-1000021|2022-11-01,MISSING_IN_DEST,0
CUST002967|CD-1000022|2024-07-11,MISSING_IN_DEST,0
CUST001461|CD-1000023|2020-06-27,MISSING_IN_DEST,0
CUST007414|CD-1000024|2023-03-07,MISSING_IN_DEST,0
CUST006252|CD-1000025|2020-02-19,MISSING_IN_DEST,0
CUST005151|CD-1000026|2020-04-10,MISSING_IN_DEST,0
CUST003219|CD-1000027|2020-07-30,MISSING_IN_DEST,0
CUST006582|CD-1000028|2021-01-03,MISSING_IN_DEST,0
CUST004363|CD-1000029|2022-03-08,MISSING_IN_DEST,0
CUST003547|CD-1000030|2025-11-03,MISSING_IN_DEST,0
CUST003604|CD-1000031|2025-08-29,MISSING_IN_DEST,0
CUST001818|CD-1000032|2020-08-23,MISSING_IN_DEST,0
CUST000737|CD-1000033|2026-03-10,MISSING_IN_DEST,0
